video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=UR0nXcDvhKc&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@Channel4News,Channel 4 News,Hungary refugee crisis: a day of chaos,48K,8 years,Refugees lie on train tracks in protest at being taken to camps. Read more: ...,2024-01-24 21:48:10.637243
/watch?v=0FiMmkIaWig&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@theGuardian,The Guardian,Refugee crisis in Hungary: how thousands spend the night at Keleti station,68K,8 years,Guardian playlists: Comment is Free ▻ http://is.gd/cifplaylist Guardian Docs ▻ http://is.gd/guardiandocs Guardian Animations ...,2024-01-24 21:48:10.640372
/watch?v=OEeW0-gFHKI&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@Channel4News,Channel 4 News,Refugee crisis: Hungary uses water cannon as people head to Serbian border,98K,8 years,The UN Secretary General today condemned the use of water cannon and tear gas by Hungarian police to repel refugees and ...,2024-01-24 21:48:10.642745
/watch?v=_Tw7lWIF4KM&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@trtworld,TRT World,Refugee Crisis: Hungarian attitude to refugees bucks international trend,11K,4 years,A new poll published by Ipsos suggests that global attitudes towards refugees are changing for the better - but the data also ...,2024-01-24 21:48:10.645169
/watch?v=pMvsUpTrwLs&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@ITVNews,ITV News,Refugee crisis: Hundreds in stand-off with police in Hungary after refusing to go to migrant camp,194K,8 years,"Frustration turned to anger and violence today, for some of the thousands of refugees and migrants, trying to get from Hungary to a ...",2024-01-24 21:48:10.647654
/watch?v=Z57TZdcqaac&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@Channel4News,Channel 4 News,Refugee crisis: the end of innocence in Hungary,12K,8 years,The town of Roszke has again witnessed desperate scenes as Hungarian police attempted to corral hundreds of migrants who ...,2024-01-24 21:48:10.649931
/watch?v=pz2kDlmHbRQ&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@VICENews,VICE News,Hungary Is Locking Up Migrants In Shipping Containers To Stop Border Crossings (HBO),1.1M,5 years,"A new law in Hungary sends a clear message to would-be-border crossers: Don't even try. The tough, new measure gives border ...",2024-01-24 21:48:10.653120
/watch?v=2M-C0PJlCYg&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@Channel4News,Channel 4 News,European migrant crisis: Caught between Croatia and Hungary,13K,8 years,"Croatia has bused thousands of refugees across the country to the border with Hungary ,saying it could not become a ""migrant ...",2024-01-24 21:48:10.657222
/watch?v=O8axQaNarcI&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@trtworld,TRT World,The Newsmakers: Hungary's Refugee Crisis,8.2K,6 years,"With thousands of people stranded on Hungary's border with Serbia, the prime minister came up with a solution: build a new wall ...",2024-01-24 21:48:10.660714
/watch?v=cu7u0EWNkBc&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@euronews,euronews,Refugee crisis 'a German problem' says Hungary's Viktor Orban,53K,8 years,"Hungarian Prime Minister Viktor Orban has described the refugee crisis as a ""German problem."" He was speaking to reporters ...",2024-01-24 21:48:10.663342
/watch?v=VJnWcEGyxNY&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@France24_en,FRANCE 24 English,Europe Refugee crisis: Hungary stands firm on anti-migrant stance,45K,7 years,"The European Commission is set to present its third report on efforts to tackle the continent's migration crisis, but some member ...",2024-01-24 21:48:10.667202
/watch?v=Za2fr7zM8kA&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@Channel4News,Channel 4 News,Refugee crisis: food thrown at migrants in Hungary,13K,8 years,Video footage shows people being thrown bags of food at a refugee camp in the town of Roszke. Asylum seekers are forced to ...,2024-01-24 21:48:10.669927
/watch?v=uvw-AnYBqNI&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@ITVNews,ITV News,Thousands of refugees and migrants in mass walk out of Hungary,25K,8 years,"Thousands of refugees, blocked by the authorities in Hungary, have begun traipsing along the main motorway to the Austrian ...",2024-01-24 21:48:10.672424
/watch?v=rD_Q3nQ0V_o&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@VICENews,VICE News,Hungary’s Anti-Migrant Prime Minister Is Crushing The Opposition (HBO),89K,5 years,"Hungary's hardline prime minister Viktor Orban scored a crushing victory in national elections last Sunday, handing the populist ...",2024-01-24 21:48:10.674875
/watch?v=05E_3GlpGWo&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@Channel4News,Channel 4 News,European migrant crisis: Hungary's new laws to stop refugees crossing,40K,8 years,Hungary declares a state of emergency and introduces draconian new laws to stop refugees and migrants crossing its border with ...,2024-01-24 21:48:10.677973
/watch?v=YvjVfaaWeKQ&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@Channel4News,Channel 4 News,Migrant crisis: Croatia and Hungary stuggle to cope,26K,8 years,The European Union has finally agreed a plan to redistribute around 120000 refugees across the continent - despite vehement ...,2024-01-24 21:48:10.680336
/watch?v=uHZj1eGUbio&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@ajplus,AJ+,Hungary's Refugee Border Fence Vs. Europe's Values,27K,8 years,"Europe's open-border and asylum rules are in crisis as Hungary completes its border fence, and EU leaders scramble to walk ...",2024-01-24 21:48:10.682626
/watch?v=o7ga6qxJh-o&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@APArchive,AP Archive,Hungary police repel migrants at Serbia border | Editor's Pick | 16 Sept 15,1.5M,8 years,"Hungarian police clashed with migrants and refugees on Wednesday at the Serbian border, firing water cannons and tear gas at ...",2024-01-24 21:48:10.684970
/watch?v=bWgU_Nas3r0&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@France24_en,FRANCE 24 English,Europe refugee crisis: Migrants stranded on Serbia-Hungary border,1.6K,7 years,Subscribe to France 24 now : http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 ...,2024-01-24 21:48:10.687326
/watch?v=4v36851d8Sk&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@France24_en,FRANCE 24 English,Europe refugee crisis: A tale of two town mayors in Hungary,2.4K,8 years,"It is the sight the village was getting used to: another train pulling up with 2000 migrants onboard. On foot, they head to Hungary.",2024-01-24 21:48:18.144678
/watch?v=4rCvC8UdgMU&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@aljazeeraenglish,Al Jazeera English,"Refugees, migrants in Serbia attempt to cross Hungary's border",67K,3 years,Around 200 refugees and migrants have amassed at Serbia's border with Hungary asking to be let through as they seek entry into ...,2024-01-24 21:48:18.146311
/watch?v=Ptft-h3dVcE&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@France24_en,FRANCE 24 English,MIGRANT CRISIS - Chaos in Hungary as Budapest rail station closed to migrants,10K,8 years,There were scenes of chaos in Budapest Tuesday as police evacuated hundreds of migrants attempting to board trains to western ...,2024-01-24 21:48:18.147708
/watch?v=qLhRH0t__mg&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@France24_en,FRANCE 24 English,"Hungary, Poland block EU summit over migration • FRANCE 24 English",233K,6 months,"Poland, backed by Hungary, has staged a revolt against European Union migration reforms, leading to deadlock that on Friday ...",2024-01-24 21:48:18.149081
/watch?v=cKYsLqS2jCs&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@France24_en,FRANCE 24 English,Debating Europe's Migrant Crisis: Hungary blasts EU ruling,7.5K,6 years,"Arezo Malakooti, an independent researcher and Zoltan Kovacs, Hungarian government''s spokesperson speak to France 24 ...",2024-01-24 21:48:18.150481
/watch?v=X6Uk5TJpEs8&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@Channel4News,Channel 4 News,Refugee crisis: hundreds begin march to Austria,302K,8 years,Hundreds of refugees begin walking to Austria from Budapest in Hungary. The city has become the immediate flashpoint in ...,2024-01-24 21:48:18.151855
/watch?v=tofFVgikKSU&pp=ygUWaHVuZ2FyeSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@lorraine,Lorraine,Richard Gaisford Talks About the Refugee Crisis in Hungary | Lorraine,232,6 years,Richard covers the refugee crisis from Budapest as thousands of refugees try to make it further west.,2024-01-24 21:48:18.153252
