video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Fcl78mTAUoc&pp=ygUWdWtyYWluZSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@nowthisnews,NowThis News,Ukraine's Refugee Crisis: What You Need to Know,4K,1 year,"For more updates on the Ukraine-Russia conflict, subscribe to NowThis News. #Ukraine #Russia #Invasion #Politics #News ...",2024-01-24 20:43:35.743947
/watch?v=FNKG3gapcK8&pp=ygUWdWtyYWluZSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@BBCNews,BBC News,Ukraine war creates largest refugee crisis since WW2 - BBC News,99K,1 year,"Four weeks since Russia invaded Ukraine and the lives of millions have been turned upside down. ""Children were killed and ...",2024-01-24 20:43:35.747071
/watch?v=2u7M1Wmb6iA&pp=ygUWdWtyYWluZSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@ABCNews,ABC News,What’s next in the Ukrainian refugee crisis?,42K,1 year,"ABC News' Phil Lipof visits a mass shelter housing refugees in Warsaw, Poland, and explores what comes next for many of the ...",2024-01-24 20:43:35.749730
/watch?v=u8JI3LDIgqU&pp=ygUWdWtyYWluZSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@ABCNews,ABC News,Refugee crisis in Ukraine intensifies,167K,1 year,"Many families are traveling with only a small suitcase and the clothes on their back, with nowhere to go. WATCH THE FULL ...",2024-01-24 20:43:35.758187
/watch?v=5PU_wQoipiQ&pp=ygUWdWtyYWluZSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@BBCNews,BBC News,Ukraine refugee crisis: “millions may flee West” - BBC News,741K,1 year,"Refugee agencies are warning that millions of Ukrainians could be on the move, fleeing to neighbouring countries to escape the ...",2024-01-24 20:43:35.760818
/watch?v=0uCLbxiknhE&pp=ygUWdWtyYWluZSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@aljazeeraenglish,Al Jazeera English,Ukraine refugee crisis: Is Europe behaving differently?,37K,1 year,"The way Europe has responded to refugees fleeing the Ukraine-Russia war has been praised, but critics point out how the ...",2024-01-24 20:43:35.763342
/watch?v=I295QocfsrE&pp=ygUWdWtyYWluZSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@ABCNews,ABC News,How Russia’s invasion of Ukraine created the largest refugee crisis in Europe since World War II,17K,11 months,"Since Russia's invasion of Ukraine, more than 8 million refugees have spread out across Europe. READ MORE: ...",2024-01-24 20:43:35.768889
/watch?v=wv9YOpvfy_M&pp=ygUWdWtyYWluZSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@BBCNews,BBC News,How Ukrainian refugees in Poland are coping a year on from the war - BBC Newsnight,228K,10 months,"That means one in seventeen people living in Poland is a Ukrainian refugee. Many are naturally reluctant to put down roots, but ...",2024-01-24 20:43:35.775789
/watch?v=0S30JLr1Dn8&pp=ygUWdWtyYWluZSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@ABCNews,ABC News,Comparing Ukrainian refugee crisis with Syrian refugee crisis,49K,1 year,Many European countries are now welcoming Ukrainian refugees after turning away Syrian refugees escaping a comparable ...,2024-01-24 20:43:35.778298
/watch?v=A4VJoEktIC8&pp=ygUWdWtyYWluZSByZWZ1Z2VlIGNyaXNpcw%3D%3D,/@TODAY,TODAY,Exodus From Ukraine Is Fastest Growing Refugee Crisis Since WWII,22K,1 year,The mass exodus in Ukraine is now the fastest growing refugee crisis since World War II. The protection of children is fueling the ...,2024-01-24 20:43:35.785004
